,Geography,Population,Year
15,Bronx County,1438159,2014
16,Bronx County,1427317,2013
17,Bronx County,1414225,2012
18,Bronx County,1399815,2011
19,Bronx County,1388314,2010
120,Kings County,2621793,2014
121,Kings County,2602373,2013
122,Kings County,2574864,2012
123,Kings County,2544903,2011
124,Kings County,2510073,2010
155,New York County,1636268,2014
156,New York County,1632005,2013
157,New York County,1625198,2012
158,New York County,1610027,2011
159,New York County,1588494,2010
205,Queens County,2321580,2014
206,Queens County,2303993,2013
207,Queens County,2280639,2012
208,Queens County,2261430,2011
209,Queens County,2235370,2010
215,Richmond County,473279,2014
216,Richmond County,472691,2013
217,Richmond County,470977,2012
218,Richmond County,471063,2011
219,Richmond County,469602,2010
318,Bronx County,1376261,2009
339,Kings County,2487751,2009
346,New York County,1583431,2009
356,Queens County,2217166,2009
358,Richmond County,466965,2009
381,Bronx County,1363488,2008
402,Kings County,2460361,2008
409,New York County,1587022,2008
419,Queens County,2193623,2008
421,Richmond County,463701,2008
444,Bronx County,1354056,2007
465,Kings County,2441324,2007
472,New York County,1581402,2007
482,Queens County,2177351,2007
484,Richmond County,459642,2007
507,Bronx County,1348164,2006
528,Kings County,2436132,2006
535,New York County,1578171,2006
545,Queens County,2173862,2006
547,Richmond County,457577,2006
570,Bronx County,1351736,2005
591,Kings County,2445809,2005
598,New York County,1573573,2005
608,Queens County,2185222,2005
610,Richmond County,457028,2005
633,Bronx County,1358963,2004
654,Kings County,2459094,2004
661,New York County,1569947,2004
671,Queens County,2198516,2004
673,Richmond County,456846,2004
696,Bronx County,1362373,2003
717,Kings County,2472999,2003
724,New York County,1562154,2003
734,Queens County,2214608,2003
736,Richmond County,455939,2003
759,Bronx County,1358739,2002
780,Kings County,2480559,2002
787,New York County,1555382,2002
797,Queens County,2224507,2002
799,Richmond County,452813,2002
822,Bronx County,1346555,2001
843,Kings County,2477252,2001
850,New York County,1555729,2001
860,Queens County,2231316,2001
862,Richmond County,448961,2001
885,Bronx County,1334319,2000
906,Kings County,2467006,2000
913,New York County,1540547,2000
923,Queens County,2230501,2000
925,Richmond County,445235,2000
948,Bronx County,1317895,1999
969,Kings County,2447352,1999
976,New York County,1535624,1999
986,Queens County,2208975,1999
988,Richmond County,437814,1999
1011,Bronx County,1300823,1998
1032,Kings County,2422434,1998
1039,New York County,1531067,1998
1049,Queens County,2174983,1998
1051,Richmond County,428952,1998
1074,Bronx County,1285683,1997
1095,Kings County,2401148,1997
1102,New York County,1527384,1997
1112,Queens County,2138503,1997
1114,Richmond County,420725,1997
1137,Bronx County,1272693,1996
1158,Kings County,2383703,1996
1165,New York County,1521415,1996
1175,Queens County,2105520,1996
1177,Richmond County,414481,1996
1200,Bronx County,1262064,1995
1221,Kings County,2372611,1995
1228,New York County,1514184,1995
1238,Queens County,2074581,1995
1240,Richmond County,409600,1995
1263,Bronx County,1250789,1994
1284,Kings County,2361668,1994
1291,New York County,1503909,1994
1301,Queens County,2047884,1994
1303,Richmond County,406208,1994
1326,Bronx County,1238907,1993
1347,Kings County,2347687,1993
1354,New York County,1493582,1993
1364,Queens County,2023400,1993
1366,Richmond County,402590,1993
1389,Bronx County,1223153,1992
1410,Kings County,2327759,1992
1417,New York County,1485877,1992
1427,Queens County,1996512,1992
1429,Richmond County,395643,1992
1452,Bronx County,1214835,1991
1473,Kings County,2312518,1991
1480,New York County,1483644,1991
1490,Queens County,1975556,1991
1492,Richmond County,387948,1991
1515,Bronx County,1207053,1990
1536,Kings County,2303679,1990
1543,New York County,1487073,1990
1553,Queens County,1957281,1990
1555,Richmond County,380564,1990
1578,Bronx County,1213675,1989
1599,Kings County,2316966,1989
1606,New York County,1486046,1989
1616,Queens County,1950425,1989
1618,Richmond County,377063,1989
1641,Bronx County,1215834,1988
1662,Kings County,2326439,1988
1669,New York County,1484183,1988
1679,Queens County,1951557,1988
1681,Richmond County,375706,1988
1704,Bronx County,1210712,1987
1725,Kings County,2324361,1987
1732,New York County,1481531,1987
1742,Queens County,1952640,1987
1744,Richmond County,373232,1987
1767,Bronx County,1198837,1986
1788,Kings County,2320507,1986
1795,New York County,1475202,1986
1805,Queens County,1953616,1986
1807,Richmond County,371084,1986
1830,Bronx County,1187894,1985
1851,Kings County,2304368,1985
1858,New York County,1464286,1985
1868,Queens County,1949579,1985
1870,Richmond County,367927,1985
1893,Bronx County,1179413,1984
1914,Kings County,2288807,1984
1921,New York County,1457879,1984
1931,Queens County,1943568,1984
1933,Richmond County,364847,1984
1956,Bronx County,1175406,1983
1977,Kings County,2276768,1983
1984,New York County,1436028,1983
1994,Queens County,1931294,1983
1996,Richmond County,361728,1983
2019,Bronx County,1164329,1982
2040,Kings County,2251785,1982
2047,New York County,1422332,1982
2057,Queens County,1911597,1982
2059,Richmond County,359062,1982
2082,Bronx County,1163912,1981
2103,Kings County,2240419,1981
2110,New York County,1426006,1981
2120,Queens County,1902587,1981
2122,Richmond County,356317,1981
2145,Bronx County,1167602,1980
2166,Kings County,2232003,1980
2173,New York County,1427238,1980
2183,Queens County,1893095,1980
2185,Richmond County,353101,1980
2208,Bronx County,1188565,1979
2229,Kings County,2242530,1979
2236,New York County,1428122,1979
2246,Queens County,1895985,1979
2248,Richmond County,346930,1979
2271,Bronx County,1220935,1978
2292,Kings County,2277488,1978
2299,New York County,1436023,1978
2309,Queens County,1904879,1978
2311,Richmond County,339617,1978
2334,Bronx County,1265491,1977
2355,Kings County,2336106,1977
2362,New York County,1451809,1977
2372,Queens County,1915378,1977
2374,Richmond County,331933,1977
2397,Bronx County,1313974,1976
2418,Kings County,2391675,1976
2425,New York County,1465780,1976
2435,Queens County,1929015,1976
2437,Richmond County,327296,1976
2460,Bronx County,1347968,1975
2481,Kings County,2422649,1975
2488,New York County,1464136,1975
2498,Queens County,1934047,1975
2500,Richmond County,323458,1975
2523,Bronx County,1381621,1974
2544,Kings County,2455992,1974
2551,New York County,1494432,1974
2561,Queens County,1945563,1974
2563,Richmond County,320190,1974
2586,Bronx County,1418905,1973
2607,Kings County,2492883,1973
2614,New York County,1496095,1973
2624,Queens County,1958079,1973
2626,Richmond County,315833,1973
2649,Bronx County,1472517,1972
2670,Kings County,2560159,1972
2677,New York County,1508113,1972
2687,Queens County,1984977,1972
2689,Richmond County,309660,1972
2712,Bronx County,1477414,1971
2733,Kings County,2609009,1971
2740,New York County,1520843,1971
2750,Queens County,1990857,1971
2752,Richmond County,304928,1971
2775,Bronx County,1472841,1970
2796,Kings County,2603413,1970
2803,New York County,1535554,1970
2813,Queens County,1987909,1970
2815,Richmond County,297331,1970
0,Bronx County,1424815,1960
1,Kings County,2627319,1960
2,New York County,1698281,1960
3,Queens County,1809578,1960
4,Richmond County,221991,1960
